"Species";"AnaCat";"DemersPelag";"BodyShapeI";"category_troph";"Nocturnal_fish";"IUCN_Code";"Site";"Data"
"Scarus psittacus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Genting 1";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Genting 1";"eDNA"
"Scarus rivulatus";"Unknown";"reef-associated";"fusiform / normal";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scolopsis ciliata";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Scolopsis ciliata";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Selaroides leptolepis";"amphidromous";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Siganus canaliculatus";"oceanodromous";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus doliatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus fuscescens";"oceanodromous";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus guttatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus guttatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus puellus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus puellus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus puellus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus puellus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus puellus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus punctatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Siganus punctatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Siganus punctatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Sphyraena obtusata";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"N.E.";"Menjangan Kecil";"eDNA"
"Sphyraena obtusata";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"N.E.";"Cilik/Kecil";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides delicatulus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Spratelloides gracilis";"Unknown";"pelagic-neritic";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Taeniamia zosterophora";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Taeniamia zosterophora";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Taeniamia zosterophora";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Genting 1";"eDNA"
"Taeniura lymma";"Unknown";"reef-associated";"other";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Taeniura lymma";"Unknown";"reef-associated";"other";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Terapon theraps";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Terapon theraps";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Terapon theraps";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Terapon theraps";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Thalassoma amblycephalum";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Thalassoma hardwicke";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Thalassoma jansenii";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Thalassoma lunare";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Thalassoma quinquevittatum";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Thalassoma trilobatum";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Upeneus tragula";"oceanodromous";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Zoramia gilberti";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Zoramia leptacanthus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Yes";"LC";"Taka Malang E";"eDNA"
"Abudefduf bengalensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Abudefduf sexfasciatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Amanses scopas";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Acanthurus lineatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Acanthurus lineatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Genting 1";"VC"
"Acanthurus nigrofuscus";"non-migratory";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Acanthurus nigrofuscus";"non-migratory";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Genting 1";"VC"
"Aeoliscus strigatus";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"DD";"Menjangan Kecil";"VC"
"Aethaloperca rogaa";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Amblyglyphidodon batunaorum";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Taka Malang E";"VC"
"Amblyglyphidodon batunaorum";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Genting 1";"VC"
"Amblyglyphidodon batunaorum";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Menjangan Kecil";"VC"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"VC"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Genting 1";"VC"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Amphiprion biaculeatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Amphiprion clarkii";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Amphiprion clarkii";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Taka Malang E";"VC"
"Amphiprion clarkii";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Genting 1";"VC"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Amphiprion perideraion";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"VC"
"Arothron nigropunctatus";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Balistapus undulatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Balistapus undulatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Bodianus mesothorax";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Bodianus mesothorax";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Cephalopholis boenak";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Cephalopholis boenak";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"VC"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Chaetodon baronessa";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodon baronessa";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chaetodon decussatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodon lunula";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Taka Malang E";"VC"
"Chaetodon lunulatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodon lunulatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chaetodon lunulatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chaetodon melannotus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Chaetodontoplus mesoleucus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chaetodontoplus mesoleucus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chaetodontoplus mesoleucus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chelmon rostratus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chelmon rostratus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chelmon rostratus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chelmon rostratus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Cheilinus chlorourus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Cheilinus chlorourus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Cheilinus fasciatus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Cheilinus trilobatus";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Cheilodipterus isostigma";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"N.E.";"Taka Malang E";"VC"
"Cheilodipterus quinquelineatus";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Yes";"LC";"Genting 1";"VC"
"Cheiloprion labiatus";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"N.E.";"Genting 1";"VC"
"Chrysiptera rex";"non-migratory";"reef-associated";"fusiform / normal";"Omnivore";"Unknown";"LC";"Genting 1";"VC"
"Chrysiptera springeri";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chrysiptera springeri";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chrysiptera springeri";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chrysiptera springeri";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Chlorurus bleekeri";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chlorurus bleekeri";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chlorurus bleekeri";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chlorurus bleekeri";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Chlorurus bowersi";"Unknown";"reef-associated";"elongated";"Herbivore";"Unknown";"NT";"Menjangan Kecil";"VC"
"Chlorurus bowersi";"Unknown";"reef-associated";"elongated";"Herbivore";"Unknown";"NT";"Cilik/Kecil";"VC"
"Choerodon anchorago";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Choerodon anchorago";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chromis atripectoralis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chromis atripectoralis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chromis viridis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Chromis viridis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Chromis viridis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Taka Malang E";"VC"
"Chromis viridis";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Genting 1";"VC"
"Chromis xanthura";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Chrysiptera cyanea";"non-migratory";"reef-associated";"fusiform / normal";"Omnivore";"Unknown";"LC";"Genting 1";"VC"
"Chrysiptera oxycephala";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Chrysiptera parasema";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Coradion chrysozonus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Coradion chrysozonus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Coris batuensis";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Coris batuensis";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Genting 1";"VC"
"Ctenochaetus binotatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Ctenochaetus binotatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Ctenochaetus binotatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Ctenochaetus striatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Menjangan Kecil";"VC"
"Ctenochaetus striatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Cilik/Kecil";"VC"
"Ctenochaetus striatus";"Unknown";"reef-associated";"short and / or deep";"Herbivore";"Unknown";"LC";"Genting 1";"VC"
"Dascyllus reticulatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Dascyllus reticulatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Dascyllus reticulatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Dascyllus trimaculatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Diproctacanthus xanthurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"VC"
"Diproctacanthus xanthurus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Dischistodus fasciatus";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"N.E.";"Genting 1";"VC"
"Dischistodus melanotus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Dischistodus melanotus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Dischistodus melanotus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"VC"
"Dischistodus prosopotaenia";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"VC"
"Dischistodus prosopotaenia";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"VC"
"Dischistodus prosopotaenia";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"VC"
